STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
672050,99999, 20160922,   80.6, 4,   67.4, 4, 1016.9, 4, 9999.9, 0,  17.9, 4,   4.8, 4,   6.0, 999.9,   86.0*,  68.0 , 0.00I,999.9, 000000,
672050,99999, 20160924,   79.7, 4,   68.4, 4, 1014.9, 4, 9999.9, 0,  17.9, 4,   5.5, 4,   6.0, 999.9,   86.5*,  66.4 , 0.00I,999.9, 000000,
672050,99999, 20160925,   80.0, 4,   68.8, 4, 1013.8, 4, 9999.9, 0,  18.0, 4,   5.5, 4,   6.0, 999.9,   86.5*,  67.1 , 0.00I,999.9, 000000,
672050,99999, 20160926,   79.2, 4,   68.0, 4, 1014.4, 4, 9999.9, 0,  17.9, 4,   4.3, 4,   6.0, 999.9,   85.6*,  68.9 , 0.00I,999.9, 000000,
672050,99999, 20160927,   80.6, 4,   69.3, 4, 1015.0, 4, 9999.9, 0,  17.9, 4,   3.3, 4,   6.0, 999.9,   86.0*,  68.0 , 0.00I,999.9, 000000,
672050,99999, 20160928,   80.1, 4,   71.1, 4, 1015.6, 4, 9999.9, 0,  17.9, 4,   5.3, 4,   6.0, 999.9,   85.1*,  70.7 , 0.00I,999.9, 000000,
672050,99999, 20160929,   82.4, 4,   70.4, 4, 1016.5, 4, 9999.9, 0,  17.9, 4,   4.0, 4,   6.0, 999.9,   88.0*,  71.6 , 0.00I,999.9, 000000,
672050,99999, 20160930,   80.6, 4,   69.4, 4, 1015.0, 4, 9999.9, 0,  16.3, 4,   4.0, 4,   6.0, 999.9,   86.7*,  70.2 , 0.00I,999.9, 000000,
672050,99999, 20161001,   79.7, 4,   69.0, 4, 1013.4, 4, 9999.9, 0,  17.9, 4,   5.0, 4,   6.0, 999.9,   86.4*,  67.3 , 0.00I,999.9, 000000,
672050,99999, 20161002,   81.5, 4,   70.0, 4, 1012.9, 4, 9999.9, 0,  16.3, 4,   4.6, 4,   6.0, 999.9,   87.3*,  69.4 , 0.00I,999.9, 000000,
672050,99999, 20161003,   80.2, 4,   69.6, 4, 1012.8, 4, 9999.9, 0,  15.5, 4,   5.2, 4,   6.0, 999.9,   86.9*,  68.0 , 0.00I,999.9, 000000,
672050,99999, 20161005,   80.7, 4,   62.1, 4, 1014.2, 4, 9999.9, 0,  17.9, 4,   6.5, 4,   9.9, 999.9,   87.6*,  68.9 , 0.00I,999.9, 000000,
672050,99999, 20161010,   84.3, 4,   71.2, 4, 1016.0, 4, 9999.9, 0,  17.9, 4,   5.1, 4,   6.0, 999.9,   89.4*,  74.1 , 0.00I,999.9, 000000,
672050,99999, 20161012,   78.7, 4,   69.6, 4, 1015.8, 4, 9999.9, 0,  17.9, 4,   5.5, 4,   6.0, 999.9,   88.3*,  69.8 , 0.00I,999.9, 000000,
672050,99999, 20161013,   83.2, 4,   69.5, 4, 1015.2, 4, 9999.9, 0,  17.9, 4,   4.5, 4,   6.0, 999.9,   88.5*,  71.8 , 0.00I,999.9, 000000,
672050,99999, 20161015,   83.5, 4,   68.8, 4, 1014.5, 4, 9999.9, 0,  17.9, 4,   4.8, 4,   6.0, 999.9,   90.7*,  72.0 , 0.00I,999.9, 000000,
672050,99999, 20161018,   82.5, 4,   69.4, 4, 1014.2, 4, 9999.9, 0,  17.9, 4,   4.5, 4,   6.0, 999.9,   88.5*,  69.8 , 0.00I,999.9, 000000,
672050,99999, 20161019,   83.2, 4,   68.3, 4, 1014.9, 4, 9999.9, 0,  17.9, 4,   4.3, 4,   6.0, 999.9,   89.2*,  70.3 , 0.00I,999.9, 000000,
672050,99999, 20161021,   82.4, 4,   68.8, 4, 1014.5, 4, 9999.9, 0,  17.9, 4,   5.0, 4,   6.0, 999.9,   88.3*,  70.3 , 0.03G,999.9, 000000,
672050,99999, 20161022,   82.1, 4,   68.0, 4, 9999.9, 0, 9999.9, 0,  17.9, 4,   4.8, 4,   6.0, 999.9,   89.6*,  67.1 , 0.00G,999.9, 000000,
672050,99999, 20161024,   86.2, 4,   68.2, 4, 1014.7, 4, 9999.9, 0,  17.9, 4,   4.5, 4,   6.0, 999.9,   88.3*,  68.9 , 0.00I,999.9, 000000,
672050,99999, 20161026,   83.7, 4,   70.8, 4, 1012.3, 4, 9999.9, 0,  17.9, 4,   5.5, 4,   8.0, 999.9,   89.4*,  72.5 , 0.00I,999.9, 000000,
672050,99999, 20161027,   82.2, 4,   74.5, 4, 1012.5, 4, 9999.9, 0,  17.1, 4,   4.0, 4,   6.0, 999.9,   87.8*,  73.8 , 0.59G,999.9, 000000,
672050,99999, 20161028,   84.7, 4,   74.2, 4, 1014.1, 4, 9999.9, 0,  17.9, 4,   5.5, 4,   6.0, 999.9,   88.0*,  76.1 , 0.08G,999.9, 000000,
