year,week,district,precipitation
2010,22,MANHICA,0
2010,22,MARRACUENE,0
2010,22,MATOLA,0
2010,22,MATUTUINE,0
2010,22,MOAMBA,0
2010,22,NAMAACHA,0
2010,23,BOANE,0
2010,23,MAGUDE,0
2010,23,MANHICA,4.55091905593872
2010,23,MARRACUENE,0
2010,23,MATOLA,0
2010,23,MATUTUINE,0
2010,23,MOAMBA,0
2010,23,NAMAACHA,0
2010,24,BOANE,3.10912537574768
2010,24,MAGUDE,0
2010,24,MANHICA,3.15448784828186
2010,24,MARRACUENE,8.249272108078
2010,24,MATOLA,3.60576915740967
2010,24,MATUTUINE,3.70922422409058
2010,24,MOAMBA,0
2010,24,NAMAACHA,3.78795289993286
2010,25,BOANE,0
2010,25,MAGUDE,9.13252854347229
2010,25,MANHICA,0
2010,25,MARRACUENE,0
2010,25,MATOLA,0
2010,25,MATUTUINE,0
2010,25,MOAMBA,0
2010,25,NAMAACHA,0
2010,26,BOANE,0
2010,26,MAGUDE,0
2010,26,MANHICA,0
2010,26,MARRACUENE,0
2010,26,MATOLA,0
2010,26,MATUTUINE,0
2010,26,MOAMBA,0
2010,26,NAMAACHA,0
2010,27,BOANE,13.1751832962036
2010,27,MAGUDE,10.1078307628632
2010,27,MANHICA,6.79766845703125
2010,27,MARRACUENE,14.648551940918
2010,27,MATOLA,13.226279258728
2010,27,MATUTUINE,13.634946346283
2010,27,MOAMBA,13.7589380741119
2010,27,NAMAACHA,18.6984131336212
2010,28,BOANE,2.68668293952942
2010,28,MAGUDE,0
2010,28,MANHICA,0
2010,28,MARRACUENE,0
2010,28,MATOLA,3.02819085121155
2010,28,MATUTUINE,2.98891425132751
2010,28,MOAMBA,0
2010,28,NAMAACHA,0
2010,29,BOANE,0
2010,29,MAGUDE,0
2010,29,MANHICA,0
2010,29,MARRACUENE,0
2010,29,MATOLA,0
2010,29,MATUTUINE,0
2010,29,MOAMBA,0
2010,29,NAMAACHA,0
2010,30,BOANE,0
2010,30,MAGUDE,0
2010,30,MANHICA,4.36408376693726
2010,30,MARRACUENE,0
2010,30,MATOLA,0
2010,30,MATUTUINE,0
